time,histprov:IgnitionHistorian:/drv:ignition boucherville:default:/tag:motors/motor10/temperature,histprov:IgnitionHistorian:/drv:ignition boucherville:default:/tag:motors/motor10/xaxisacceleration,histprov:IgnitionHistorian:/drv:ignition boucherville:default:/tag:motors/motor10/xaxiscrestfactor
 1707035804360,24.440000534057617,0.012814786741100388,3.2850000858306885
 1707037820360,24.360000610351562,0.012856933935940527,3.365999937057495
 1707037820360,24.469999313354492,0.012856933935940527,5.232999801635742
 1707039836360,24.3799991607666,0.012899081130780666,3.3959999084472656
 1707039836360,24.489999771118164,0.012899081130780666,4.9079999923706055
 1707041852360,24.489999771118164,0.012941228325620805,3.447000026702881
 1707041852360,24.399999618530273,0.012941228325620805,5.245999813079834
 1707043868360,24.420000076293945,0.012983375520460944,5.24399995803833
 1707043868360,24.530000686645508,0.012983375520460944,3.3010001182556152
 1707045884360,24.440000534057617,0.008999999612569809,3.3989999294281006
 1707045884360,25.989999771118164,0.0949999988079071,7.349999904632568
 1707047900360,26.100000381469727,0.009999999776482582,5.552999973297119
 1707047900360,28.049999237060547,0.09799999743700027,3.3010001182556152
 1707049916360,28.020000457763672,0.009999999776482582,7.070000171661377
 1707049916360,29.59000015258789,0.0949999988079071,3.3529999256134033
 1707051932360,29.559999465942383,0.09200000017881393,3.3359999656677246
 1707051932360,30.399999618530273,0.009999999776482582,9.206999778747559
 1707053948360,30.170000076293945,0.009999999776482582,6.392000198364258
 1707053948360,30.68000030517578,0.09200000017881393,3.374000072479248
 1707055964360,30.68000030517578,0.09300000220537186,10.86400032043457
 1707055964360,31.510000228881836,0.009999999776482582,3.2750000953674316
 1707057980360,31.059999465942383,0.09200000017881393,3.244999885559082
 1707057980360,31.549999237060547,0.009999999776482582,10.303999900817871
 1707059996360,31.530000686645508,0.009999999776482582,3.3570001125335693
 1707059996360,32.43000030517578,0.09300000220537186,11.116000175476074
 1707062012360,32.36000061035156,0.009999999776482582,10.843000411987305
 1707062012360,33.279998779296875,0.0949999988079071,3.3529999256134033
 1707064028360,33.369998931884766,0.03099999949336052,5.822999954223633
 1707064028360,32.54999923706055,0.009999999776482582,3.3369998931884766
 1707066044360,32.58000183105469,0.009999999776482582,10.562999725341797
 1707066044360,31.510000228881836,0.009999999776482582,3.4189999103546143
 1707068060360,31.549999237060547,0.009999999776482582,3.308000087738037
 1707068060360,30.59000015258789,0.009999999776482582,5.142000198364258
 1707070076360,30.610000610351562,0.009999999776482582,11.25
 1707070076360,29.799999237060547,0.009999999776482582,3.3429999351501465
 1707072092360,29.81999969482422,0.009999999776482582,9.317999839782715
 1707072092360,29.079999923706055,0.009999999776482582,3.318000078201294
 1707074108360,28.729999542236328,0.009999999776482582,3.4189999103546143
 1707074108360,29.84000015258789,0.009999999776482582,10.880999565124512
 1707076124360,29.360000610351562,0.009999999776482582,3.2839999198913574
 1707076124360,28.229999542236328,0.009999999776482582,5.159999847412109
