"t_stamp","boucherville/deck shop/line 51/standard/status"
"2024-03-22 19:42:47.518","2.0"
"2024-03-22 19:44:47.518","2.0"
"2024-03-22 19:46:47.518","2.0"
"2024-03-22 19:48:47.518","2.0"
"2024-03-22 19:50:47.518","2.0"
"2024-03-22 19:52:47.518","2.0"
"2024-03-22 19:54:47.518","2.0"
"2024-03-22 19:56:47.518","2.0"
"2024-03-22 19:58:47.518","2.0"
"2024-03-22 20:00:47.518","2.0"
"2024-03-22 20:02:47.518","2.0"
"2024-03-22 20:04:47.518","2.0"
"2024-03-22 20:06:47.518","2.0"
"2024-03-22 20:08:47.518","2.0"
"2024-03-22 20:10:47.518","2.0"
"2024-03-22 20:12:47.518","2.0"
"2024-03-22 20:14:47.518","2.0"
"2024-03-22 20:16:47.518","2.0"
"2024-03-22 20:18:47.518","2.0"
"2024-03-22 20:20:47.518","2.0"
"2024-03-22 20:22:47.518","2.0"
"2024-03-22 20:24:47.518","2.0"
"2024-03-22 20:26:47.518","2.0"
"2024-03-22 20:28:47.518","2.0"
"2024-03-22 20:30:47.518","2.0"
"2024-03-22 20:32:47.518","2.0"
"2024-03-22 20:34:47.518","2.0"
"2024-03-22 20:36:47.518","2.0"
"2024-03-22 20:38:47.518","2.0"
"2024-03-22 20:40:47.518","2.0"
"2024-03-22 20:42:47.518","2.0"
"2024-03-22 20:44:47.518","2.0"
"2024-03-22 20:46:47.518","2.0"
"2024-03-22 20:48:47.518","2.0"
"2024-03-22 20:50:47.518","2.0"
"2024-03-22 20:52:47.518","2.0"
"2024-03-22 20:54:47.518","2.0"
"2024-03-22 20:56:47.518","2.0"
"2024-03-22 20:58:47.518","2.0"
"2024-03-22 21:00:47.518","2.0"
"2024-03-22 21:02:47.518","2.0"
"2024-03-22 21:04:47.518","2.0"
"2024-03-22 21:06:47.518","2.0"
"2024-03-22 21:08:47.518","2.0"
"2024-03-22 21:10:47.518","2.0"
"2024-03-22 21:12:47.518","2.0"
"2024-03-22 21:14:47.518","2.0"
"2024-03-22 21:16:47.518","2.0"
"2024-03-22 21:18:47.518","2.0"
"2024-03-22 21:20:47.518","2.0"
"2024-03-22 21:22:47.518","2.0"
"2024-03-22 21:24:47.518","2.0"
"2024-03-22 21:26:47.518","2.0"
"2024-03-22 21:28:47.518","2.0"
"2024-03-22 21:30:47.518","2.0"
"2024-03-22 21:32:47.518","2.0"
"2024-03-22 21:34:47.518","2.0"
"2024-03-22 21:36:47.518","2.0"
"2024-03-22 21:38:47.518","2.0"
"2024-03-22 21:40:47.518","2.0"
"2024-03-22 21:42:47.518","2.0"
"2024-03-22 21:44:47.518","2.0"
"2024-03-22 21:46:47.518","2.0"
"2024-03-22 21:48:47.518","2.0"
"2024-03-22 21:50:47.518","2.0"
"2024-03-22 21:52:47.518","2.0"
"2024-03-22 21:54:47.518","2.0"
"2024-03-22 21:56:47.518","2.0"
"2024-03-22 21:58:47.518","2.0"
"2024-03-22 22:00:47.518","2.0"
"2024-03-22 22:02:47.518","2.0"
"2024-03-22 22:04:47.518","2.0"
"2024-03-22 22:06:47.518","2.0"
"2024-03-22 22:08:47.518","2.0"
"2024-03-22 22:10:47.518","2.0"
"2024-03-22 22:12:47.518","2.0"
"2024-03-22 22:14:47.518","2.0"
"2024-03-22 22:16:47.518","2.0"
"2024-03-22 22:18:47.518","2.0"
"2024-03-22 22:20:47.518","2.0"
"2024-03-22 22:22:47.518","2.0"
"2024-03-22 22:24:47.518","2.0"
"2024-03-22 22:26:47.518","2.0"
"2024-03-22 22:28:47.518","2.0"
"2024-03-22 22:30:47.518","2.0"
"2024-03-22 22:32:47.518","2.0"
"2024-03-22 22:34:47.518","2.0"
"2024-03-22 22:36:47.518","2.0"
"2024-03-22 22:38:47.518","2.0"
"2024-03-22 22:40:47.518","2.0"
"2024-03-22 22:42:47.518","2.0"
"2024-03-22 22:44:47.518","2.0"
"2024-03-22 22:46:47.518","2.0"
"2024-03-22 22:48:47.518","2.0"
"2024-03-22 22:50:47.518","2.0"
"2024-03-22 22:52:47.518","2.0"
"2024-03-22 22:54:47.518","2.0"
"2024-03-22 22:56:47.518","2.0"
"2024-03-22 22:58:47.518","2.0"
"2024-03-22 23:00:47.518","2.0"
"2024-03-22 23:02:47.518","2.0"
"2024-03-22 23:04:47.518","2.0"
"2024-03-22 23:06:47.518","2.0"
"2024-03-22 23:08:47.518","2.0"
"2024-03-22 23:10:47.518","2.0"
"2024-03-22 23:12:47.518","2.0"
"2024-03-22 23:14:47.518","2.0"
"2024-03-22 23:16:47.518","2.0"
"2024-03-22 23:18:47.518","2.0"
"2024-03-22 23:20:47.518","2.0"
"2024-03-22 23:22:47.518","2.0"
"2024-03-22 23:24:47.518","2.0"
"2024-03-22 23:26:47.518","2.0"
"2024-03-22 23:28:47.518","2.0"
"2024-03-22 23:30:47.518","2.0"
"2024-03-22 23:32:47.518","2.0"
"2024-03-22 23:34:47.518","2.0"
"2024-03-22 23:36:47.518","2.0"
"2024-03-22 23:38:47.518","2.0"
"2024-03-22 23:40:47.518","2.0"
"2024-03-22 23:42:47.518","2.0"
"2024-03-22 23:44:47.518","2.0"
"2024-03-22 23:46:47.518","2.0"
"2024-03-22 23:48:47.518","2.0"
"2024-03-22 23:50:47.518","2.0"
"2024-03-22 23:52:47.518","2.0"
"2024-03-22 23:54:47.518","2.0"
"2024-03-22 23:56:47.518","2.0"
"2024-03-22 23:58:47.518","2.0"
"2024-03-23 00:00:47.518","2.0"
"2024-03-23 00:02:47.518","2.0"
"2024-03-23 00:04:47.518","2.0"
"2024-03-23 00:06:47.518","2.0"
"2024-03-23 00:08:47.518","2.0"
"2024-03-23 00:10:47.518","2.0"
"2024-03-23 00:12:47.518","2.0"
"2024-03-23 00:14:47.518","2.0"
"2024-03-23 00:16:47.518","2.0"
"2024-03-23 00:18:47.518","2.0"
"2024-03-23 00:20:47.518","2.0"
"2024-03-23 00:22:47.518","2.0"
"2024-03-23 00:24:47.518","2.0"
"2024-03-23 00:26:47.518","2.0"
"2024-03-23 00:28:47.518","2.0"
"2024-03-23 00:30:47.518","2.0"
"2024-03-23 00:32:47.518","2.0"
"2024-03-23 00:34:47.518","2.0"
"2024-03-23 00:36:47.518","2.0"
"2024-03-23 00:38:47.518","2.0"
"2024-03-23 00:40:47.518","2.0"
"2024-03-23 00:42:47.518","2.0"
"2024-03-23 00:44:47.518","2.0"
"2024-03-23 00:46:47.518","2.0"
"2024-03-23 00:48:47.518","2.0"
"2024-03-23 00:50:47.518","2.0"
"2024-03-23 00:52:47.518","2.0"
"2024-03-23 00:54:47.518","2.0"
"2024-03-23 00:56:47.518","2.0"
"2024-03-23 00:58:47.518","2.0"
"2024-03-23 01:00:47.518","2.0"
"2024-03-23 01:02:47.518","2.0"
"2024-03-23 01:04:47.518","2.0"
"2024-03-23 01:06:47.518","2.0"
"2024-03-23 01:08:47.518","2.0"
"2024-03-23 01:10:47.518","2.0"
"2024-03-23 01:12:47.518","2.0"
"2024-03-23 01:14:47.518","2.0"
