"id","time","previous","difference","productionLineName","seats","spacers"
35627,"2024-03-12 13:13:49.127428+00","2024-03-12 13:06:13.39218+00","00:07:35.735248","25",False,False
35952,"2024-03-14 04:16:44.279183+00","2024-03-14 04:09:06.963782+00","00:07:37.315401","25",False,False
35427,"2024-03-11 12:27:41.399887+00","2024-03-11 12:20:02.109011+00","00:07:39.290876","25",False,False
35769,"2024-03-13 04:57:52.97266+00","2024-03-13 04:50:13.147532+00","00:07:39.825128","25",NULL,NULL
35130,"2024-03-07 00:37:47.436202+00","2024-03-07 00:30:05.93701+00","00:07:41.499192","25",False,False
35433,"2024-03-11 12:59:00.31427+00","2024-03-11 12:51:18.217526+00","00:07:42.096744","25",False,False
35908,"2024-03-13 22:38:30.960341+00","2024-03-13 22:30:47.884531+00","00:07:43.07581","25",False,False
35158,"2024-03-07 04:35:58.157377+00","2024-03-07 04:28:12.277842+00","00:07:45.879535","25",False,False
35328,"2024-03-08 00:43:56.769531+00","2024-03-08 00:36:09.002197+00","00:07:47.767334","25",False,False
35699,"2024-03-12 20:20:08.038898+00","2024-03-12 20:12:20.101343+00","00:07:47.937555","25",False,False
35379,"2024-03-08 17:18:03.822868+00","2024-03-08 17:10:15.574462+00","00:07:48.248406","25",False,False
35966,"2024-03-14 06:08:38.476098+00","2024-03-14 06:00:49.852622+00","00:07:48.623476","25",False,False
35940,"2024-03-14 03:04:31.066519+00","2024-03-14 02:56:40.256318+00","00:07:50.810201","25",False,False
35128,"2024-03-07 00:18:06.634937+00","2024-03-07 00:10:14.630216+00","00:07:52.004721","25",False,False
35523,"2024-03-11 23:01:44.050773+00","2024-03-11 22:53:51.487976+00","00:07:52.562797","25",False,False
35386,"2024-03-08 18:46:13.47482+00","2024-03-08 18:38:20.859236+00","00:07:52.615584","25",False,False
35316,"2024-03-07 23:08:18.822552+00","2024-03-07 23:00:25.831626+00","00:07:52.990926","25",False,False
35976,"2024-03-14 11:24:33.054374+00","2024-03-14 11:16:39.255611+00","00:07:53.798763","25",False,False
35831,"2024-03-13 14:24:36.426984+00","2024-03-13 14:16:39.763476+00","00:07:56.663508","25",False,False
35673,"2024-03-12 17:57:27.221079+00","2024-03-12 17:49:29.394407+00","00:07:57.826672","25",False,False
35327,"2024-03-08 00:36:09.002197+00","2024-03-08 00:28:09.060353+00","00:07:59.941844","25",False,False
35196,"2024-03-07 12:54:30.047361+00","2024-03-07 12:46:30.060659+00","00:07:59.986702","25",False,False
35131,"2024-03-07 00:45:47.83168+00","2024-03-07 00:37:47.436202+00","00:08:00.395478","25",False,False
35939,"2024-03-14 02:56:40.256318+00","2024-03-14 02:48:39.727939+00","00:08:00.528379","25",False,False
35927,"2024-03-14 00:47:47.353059+00","2024-03-14 00:39:46.260814+00","00:08:01.092245","25",False,False
35398,"2024-03-08 20:36:48.59646+00","2024-03-08 20:28:46.975966+00","00:08:01.620494","25",False,False
35325,"2024-03-08 00:15:31.789078+00","2024-03-08 00:07:29.926473+00","00:08:01.862605","25",False,False
35695,"2024-03-12 20:00:25.991329+00","2024-03-12 19:52:21.21254+00","00:08:04.778789","25",False,False
